Label,Data1,Altitude,Velocity,Vertical Velocity,PT Pressure,PS Pressure,PT Temperature,PS Temperature,Sensor Status,END,
="2025-09-30 오전 10:03:13",="143",="4.925776",="12.43246",="-0.004134339",="10136555",="10137175",="23.93495",="23.94747",="0",PacketEnd
="2025-09-30 오전 10:03:13",="146",="4.925732",="12.43246",="-0.004183894",="10136555",="10137175",="23.93497",="23.94755",="0",PacketEnd
="2025-09-30 오전 10:03:13",="149",="4.925688",="12.43246",="-0.004304041",="10136555",="10137175",="23.93503",="23.94758",="0",PacketEnd
="2025-09-30 오전 10:03:13",="152",="4.925647",="12.43246",="-0.004442303",="10136555",="10137175",="23.93506",="23.94765",="0",PacketEnd
="2025-09-30 오전 10:03:13",="155",="4.925609",="12.43246",="-0.004556172",="10136555",="10137175",="23.93511",="23.94768",="0",PacketEnd
="2025-09-30 오전 10:03:13",="158",="4.925578",="12.43246",="-0.00459374",="10136555",="10137175",="23.93514",="23.94772",="0",PacketEnd
="2025-09-30 오전 10:03:13",="161",="4.925549",="12.43246",="-0.004539257",="10136555",="10137175",="23.93519",="23.94775",="0",PacketEnd
="2025-09-30 오전 10:03:13",="164",="4.92552",="12.43246",="-0.004420593",="10136555",="10137175",="23.93522",="23.94781",="0",PacketEnd
="2025-09-30 오전 10:03:13",="167",="4.925491",="12.43246",="-0.004264911",="10136555",="10137175",="23.9353",="23.94784",="0",PacketEnd
="2025-09-30 오전 10:03:14",="170",="4.925457",="12.4396",="-0.004132656",="10136555",="10137176",="23.93534",="23.94792",="0",PacketEnd
="2025-09-30 오전 10:03:14",="173",="4.925421",="12.4396",="-0.004058931",="10136555",="10137176",="23.93542",="23.94796",="0",PacketEnd
="2025-09-30 오전 10:03:14",="176",="4.925382",="12.4396",="-0.004050713",="10136555",="10137176",="23.93545",="23.94804",="0",PacketEnd
="2025-09-30 오전 10:03:14",="179",="4.925342",="12.42532",="-0.004111434",="10136556",="10137176",="23.93552",="23.94807",="0",PacketEnd
="2025-09-30 오전 10:03:14",="182",="4.925303",="12.41817",="-0.004200915",="10136557",="10137176",="23.93556",="23.94814",="0",PacketEnd
="2025-09-30 오전 10:03:14",="185",="4.925267",="12.41102",="-0.004284563",="10136558",="10137176",="23.93563",="23.94816",="0",PacketEnd
="2025-09-30 오전 10:03:14",="188",="4.925237",="12.41102",="-0.004321376",="10136558",="10137176",="23.93567",="23.9482",="0",PacketEnd
="2025-09-30 오전 10:03:14",="191",="4.92521",="12.3967",="-0.004278976",="10136559",="10137176",="23.93574",="23.94822",="0",PacketEnd
="2025-09-30 오전 10:03:14",="194",="4.925185",="12.38953",="-0.004168912",="10136560",="10137176",="23.93578",="23.94827",="0",PacketEnd
="2025-09-30 오전 10:03:14",="197",="4.92516",="12.38953",="-0.004006457",="10136560",="10137176",="23.93587",="23.94831",="0",PacketEnd
="2025-09-30 오전 10:03:14",="200",="4.925132",="12.38953",="-0.003840284",="10136560",="10137176",="23.93592",="23.94837",="0",PacketEnd
="2025-09-30 오전 10:03:14",="203",="4.925101",="12.38953",="-0.003721873",="10136560",="10137176",="23.93601",="23.9484",="0",PacketEnd
="2025-09-30 오전 10:03:14",="206",="4.925068",="12.38953",="-0.003662082",="10136560",="10137176",="23.93605",="23.94847",="0",PacketEnd
="2025-09-30 오전 10:03:14",="209",="4.925034",="12.38953",="-0.003667418",="10136560",="10137176",="23.93612",="23.9485",="0",PacketEnd
="2025-09-30 오전 10:03:14",="212",="4.925003",="12.38953",="-0.003707601",="10136560",="10137176",="23.93616",="23.94855",="0",PacketEnd
="2025-09-30 오전 10:03:14",="215",="4.924973",="12.38953",="-0.003737899",="10136560",="10137176",="23.93622",="23.94857",="0",PacketEnd
="2025-09-30 오전 10:03:14",="218",="4.924945",="12.38953",="-0.003740084",="10136560",="10137176",="23.93625",="23.94861",="0",PacketEnd
="2025-09-30 오전 10:03:14",="221",="4.924921",="12.38953",="-0.003691667",="10136560",="10137176",="23.93631",="23.94864",="0",PacketEnd
="2025-09-30 오전 10:03:14",="224",="4.924894",="12.38953",="-0.003611886",="10136560",="10137176",="23.93634",="23.9487",="0",PacketEnd
="2025-09-30 오전 10:03:14",="227",="4.924865",="12.38953",="-0.003535889",="10136560",="10137176",="23.93642",="23.94875",="0",PacketEnd
="2025-09-30 오전 10:03:14",="230",="4.924829",="12.38953",="-0.003509884",="10136560",="10137176",="23.93646",="23.94883",="0",PacketEnd
="2025-09-30 오전 10:03:14",="233",="4.924788",="12.38953",="-0.003569553",="10136560",="10137176",="23.93654",="23.94888",="0",PacketEnd
="2025-09-30 오전 10:03:14",="236",="4.924744",="12.38953",="-0.003717403",="10136560",="10137176",="23.93657",="23.94897",="0",PacketEnd
="2025-09-30 오전 10:03:14",="239",="4.924697",="12.3967",="-0.003938868",="10136559",="10137176",="23.93664",="23.94901",="0",PacketEnd
="2025-09-30 오전 10:03:14",="242",="4.924653",="12.41102",="-0.004181934",="10136558",="10137176",="23.93667",="23.94909",="0",PacketEnd
="2025-09-30 오전 10:03:14",="245",="4.92461",="12.41817",="-0.004404332",="10136557",="10137176",="23.93673",="23.94912",="0",PacketEnd
="2025-09-30 오전 10:03:14",="248",="4.92457",="12.41817",="-0.004570889",="10136557",="10137176",="23.93676",="23.94918",="0",PacketEnd
="2025-09-30 오전 10:03:14",="251",="4.924532",="12.42532",="-0.004659735",="10136556",="10137176",="23.93681",="23.94922",="0",PacketEnd
="2025-09-30 오전 10:03:14",="254",="4.924495",="12.4396",="-0.004684409",="10136555",="10137176",="23.93684",="23.9493",="0",PacketEnd
="2025-09-30 오전 10:03:14",="1",="4.924454",="12.4396",="-0.004680407",="10136555",="10137176",="23.93691",="23.94936",="0",PacketEnd
="2025-09-30 오전 10:03:14",="4",="4.924409",="12.4396",="-0.004692334",="10136555",="10137176",="23.93694",="23.94946",="0",PacketEnd
="2025-09-30 오전 10:03:14",="7",="4.92436",="12.4396",="-0.004760813",="10136555",="10137176",="23.93701",="23.94951",="0",PacketEnd
="2025-09-30 오전 10:03:14",="10",="4.924307",="12.42532",="-0.004898542",="10136556",="10137176",="23.93704",="23.94961",="0",PacketEnd
="2025-09-30 오전 10:03:15",="13",="4.924255",="12.41817",="-0.005085134",="10136557",="10137176",="23.93709",="23.94966",="0",PacketEnd
="2025-09-30 오전 10:03:15",="16",="4.924205",="12.41817",="-0.005279098",="10136557",="10137176",="23.93712",="23.94973",="0",PacketEnd
="2025-09-30 오전 10:03:15",="19",="4.92416",="12.3967",="-0.005428845",="10136559",="10137176",="23.93717",="23.94976",="0",PacketEnd
="2025-09-30 오전 10:03:15",="22",="4.924121",="12.3967",="-0.005487167",="10136559",="10137176",="23.9372",="23.94981",="0",PacketEnd
="2025-09-30 오전 10:03:15",="25",="4.924088",="12.38236",="-0.005433721",="10136561",="10137176",="23.93726",="23.94985",="0",PacketEnd
="2025-09-30 오전 10:03:15",="28",="4.924054",="12.37519",="-0.005290701",="10136562",="10137176",="23.93728",="23.94992",="0",PacketEnd
="2025-09-30 오전 10:03:15",="31",="4.924899",="12.37519",="-0.002461479",="10136563",="10137177",="23.93736",="23.94997",="0",PacketEnd
="2025-09-30 오전 10:03:15",="34",="4.926179",="12.36801",="0.007410559",="10136564",="10137177",="23.9374",="23.95006",="0",PacketEnd
="2025-09-30 오전 10:03:15",="37",="4.927456",="12.36082",="0.02292143",="10136565",="10137177",="23.93748",="23.9501",="0",PacketEnd
="2025-09-30 오전 10:03:15",="40",="4.928729",="12.36082",="0.04296565",="10136565",="10137177",="23.93752",="23.9502",="0",PacketEnd
="2025-09-30 오전 10:03:15",="43",="4.92912",="12.36082",="0.06138292",="10136565",="10137177",="23.93758",="23.95025",="0",PacketEnd
="2025-09-30 오전 10:03:15",="46",="4.929075",="12.36801",="0.0686615",="10136565",="10137178",="23.93761",="23.95031",="0",PacketEnd
="2025-09-30 오전 10:03:15",="49",="4.929031",="12.36801",="0.06697243",="10136565",="10137178",="23.93768",="23.95035",="0",PacketEnd
="2025-09-30 오전 10:03:15",="52",="4.928995",="12.36801",="0.05808006",="10136565",="10137178",="23.93771",="23.95039",="0",PacketEnd
="2025-09-30 오전 10:03:15",="55",="4.928964",="12.36801",="0.04605011",="10136565",="10137178",="23.93778",="23.95042",="0",PacketEnd
="2025-09-30 오전 10:03:15",="58",="4.928933",="12.36801",="0.03641165",="10136565",="10137178",="23.93781",="23.95048",="0",PacketEnd
="2025-09-30 오전 10:03:15",="61",="4.928899",="12.36801",="0.02868201",="10136565",="10137178",="23.93789",="23.95054",="0",PacketEnd
="2025-09-30 오전 10:03:15",="64",="4.928861",="12.36082",="0.02244044",="10136566",="10137178",="23.93793",="23.95062",="0",PacketEnd
="2025-09-30 오전 10:03:15",="67",="4.928819",="12.36082",="0.01734449",="10136566",="10137178",="23.93801",="23.95067",="0",PacketEnd
="2025-09-30 오전 10:03:15",="70",="4.928774",="12.36801",="0.01314808",="10136566",="10137179",="23.93804",="23.95075",="0",PacketEnd
="2025-09-30 오전 10:03:15",="73",="4.928729",="12.36801",="0.009676692",="10136566",="10137179",="23.9381",="23.95079",="0",PacketEnd
="2025-09-30 오전 10:03:15",="76",="4.928689",="12.36801",="0.006841428",="10136566",="10137179",="23.93813",="23.95084",="0",PacketEnd
="2025-09-30 오전 10:03:15",="79",="4.928654",="12.36801",="0.004572271",="10136566",="10137179",="23.93819",="23.95087",="0",PacketEnd
="2025-09-30 오전 10:03:15",="82",="4.928624",="12.36801",="0.002806012",="10136566",="10137179",="23.93822",="23.95092",="0",PacketEnd
="2025-09-30 오전 10:03:15",="85",="4.928595",="12.35363",="0.001472131",="10136567",="10137179",="23.93828",="23.95095",="0",PacketEnd
="2025-09-30 오전 10:03:15",="88",="4.928559",="12.35363",="0.0004428371",="10136567",="10137179",="23.9383",="23.95106",="0",PacketEnd
="2025-09-30 오전 10:03:15",="91",="4.928518",="12.35363",="-0.0004024982",="10136567",="10137179",="23.93839",="23.95111",="0",PacketEnd
="2025-09-30 오전 10:03:15",="94",="4.928469",="12.36082",="-0.001173039",="10136567",="10137180",="23.93843",="23.95121",="0",PacketEnd
="2025-09-30 오전 10:03:15",="97",="4.928416",="12.36082",="-0.001928123",="10136567",="10137180",="23.93851",="23.95127",="0",PacketEnd
="2025-09-30 오전 10:03:15",="100",="4.928361",="12.36082",="-0.002663951",="10136567",="10137180",="23.93854",="23.95137",="0",PacketEnd
="2025-09-30 오전 10:03:15",="103",="4.928305",="12.36082",="-0.003355301",="10136567",="10137180",="23.9386",="23.95143",="0",PacketEnd
="2025-09-30 오전 10:03:15",="106",="4.928251",="12.36082",="-0.00395919",="10136567",="10137180",="23.93863",="23.95152",="0",PacketEnd
="2025-09-30 오전 10:03:15",="109",="4.928201",="12.36082",="-0.004443193",="10136567",="10137180",="23.9387",="23.95155",="0",PacketEnd
="2025-09-30 오전 10:03:16",="112",="4.928155",="12.36082",="-0.004792459",="10136567",="10137180",="23.93873",="23.95163",="0",PacketEnd
="2025-09-30 오전 10:03:16",="115",="4.928111",="12.36082",="-0.005011844",="10136567",="10137180",="23.93879",="23.95168",="0",PacketEnd
="2025-09-30 오전 10:03:16",="118",="4.928063",="12.36082",="-0.005139766",="10136567",="10137180",="23.93882",="23.9518",="0",PacketEnd
="2025-09-30 오전 10:03:16",="121",="4.92801",="12.36082",="-0.005240623",="10136567",="10137180",="23.93891",="23.95186",="0",PacketEnd
="2025-09-30 오전 10:03:16",="124",="4.927951",="12.35363",="-0.005382083",="10136567",="10137179",="23.93896",="23.95197",="0",PacketEnd
="2025-09-30 오전 10:03:16",="127",="4.92789",="12.35363",="-0.005584439",="10136567",="10137179",="23.93904",="23.95203",="0",PacketEnd
="2025-09-30 오전 10:03:16",="130",="4.927828",="12.35363",="-0.00583893",="10136567",="10137179",="23.93907",="23.95215",="0",PacketEnd
="2025-09-30 오전 10:03:16",="133",="4.927768",="12.35363",="-0.006104027",="10136567",="10137179",="23.93914",="23.9522",="0",PacketEnd
="2025-09-30 오전 10:03:16",="136",="4.927713",="12.35363",="-0.006313976",="10136567",="10137179",="23.93918",="23.95226",="0",PacketEnd
="2025-09-30 오전 10:03:16",="139",="4.927667",="12.35363",="-0.006421595",="10136567",="10137179",="23.93926",="23.95229",="0",PacketEnd
="2025-09-30 오전 10:03:16",="142",="4.927629",="12.35363",="-0.006383092",="10136567",="10137179",="23.93929",="23.95235",="0",PacketEnd
="2025-09-30 오전 10:03:16",="145",="4.927598",="12.35363",="-0.006191439",="10136567",="10137179",="23.93936",="23.95238",="0",PacketEnd
="2025-09-30 오전 10:03:16",="148",="4.927565",="12.35363",="-0.005894902",="10136567",="10137179",="23.93939",="23.95246",="0",PacketEnd
="2025-09-30 오전 10:03:16",="151",="4.927528",="12.35363",="-0.005574175",="10136567",="10137179",="23.93947",="23.9525",="0",PacketEnd
="2025-09-30 오전 10:03:16",="154",="4.927489",="12.35363",="-0.005307508",="10136567",="10137179",="23.9395",="23.95258",="0",PacketEnd
="2025-09-30 오전 10:03:16",="157",="4.927447",="12.35363",="-0.00513625",="10136567",="10137179",="23.93958",="23.95262",="0",PacketEnd
="2025-09-30 오전 10:03:16",="160",="4.927404",="12.35363",="-0.005058515",="10136567",="10137179",="23.93961",="23.9527",="0",PacketEnd
="2025-09-30 오전 10:03:16",="163",="4.927362",="12.34644",="-0.005037105",="10136568",="10137179",="23.93967",="23.95273",="0",PacketEnd
="2025-09-30 오전 10:03:16",="166",="4.927325",="12.33924",="-0.005020052",="10136569",="10137179",="23.93971",="23.95278",="0",PacketEnd
="2025-09-30 오전 10:03:16",="169",="4.927294",="12.33924",="-0.004960835",="10136569",="10137179",="23.93978",="23.9528",="0",PacketEnd
="2025-09-30 오전 10:03:16",="172",="4.927269",="12.33924",="-0.004820381",="10136569",="10137179",="23.9398",="23.95283",="0",PacketEnd
="2025-09-30 오전 10:03:16",="175",="4.927248",="12.33924",="-0.004594492",="10136569",="10137179",="23.93985",="23.95285",="0",PacketEnd
="2025-09-30 오전 10:03:16",="178",="4.927226",="12.33924",="-0.004310164",="10136569",="10137179",="23.93988",="23.95291",="0",PacketEnd
="2025-09-30 오전 10:03:16",="181",="4.927202",="12.33924",="-0.004024507",="10136569",="10137179",="23.93995",="23.95294",="0",PacketEnd
="2025-09-30 오전 10:03:16",="184",="4.927173",="12.33924",="-0.003797081",="10136569",="10137179",="23.93999",="23.953",="0",PacketEnd
="2025-09-30 오전 10:03:16",="187",="4.927143",="12.33924",="-0.003655483",="10136569",="10137179",="23.94006",="23.95303",="0",PacketEnd
="2025-09-30 오전 10:03:16",="190",="4.927112",="12.33924",="-0.003595554",="10136569",="10137179",="23.94009",="23.95309",="0",PacketEnd
="2025-09-30 오전 10:03:16",="193",="4.927083",="12.33924",="-0.003584903",="10136569",="10137179",="23.94016",="23.95311",="0",PacketEnd
